ID Race,Race,ID State,State,ID Year,Year,Household Income by Race,Household Income by Race Moe,Slug State
1,White,04000US40,Oklahoma,2018,2018,55603,726,oklahoma
1,White,04000US41,Oregon,2018,2018,64295,1204,oregon
1,White,04000US42,Pennsylvania,2018,2018,64643,545,pennsylvania
1,White,04000US44,Rhode Island,2018,2018,68614,2246,rhode-island
1,White,04000US45,South Carolina,2018,2018,61078,709,south-carolina
1,White,04000US46,South Dakota,2018,2018,59507,1966,south-dakota
1,White,04000US47,Tennessee,2018,2018,56408,695,tennessee
1,White,04000US48,Texas,2018,2018,63382,594,texas
1,White,04000US49,Utah,2018,2018,73343,1147,utah
1,White,04000US50,Vermont,2018,2018,61751,1620,vermont
1,White,04000US51,Virginia,2018,2018,78310,815,virginia
1,White,04000US53,Washington,2018,2018,75172,727,washington
1,White,04000US54,West Virginia,2018,2018,44808,1042,west-virginia
1,White,04000US55,Wisconsin,2018,2018,63178,625,wisconsin
1,White,04000US56,Wyoming,2018,2018,62266,1747,wyoming
1,White,04000US72,Puerto Rico,2018,2018,21366,531,puerto-rico
2,Black,04000US01,Alabama,2018,2018,33539,1240,alabama
2,Black,04000US02,Alaska,2018,2018,63198,8294,alaska
2,Black,04000US04,Arizona,2018,2018,50068,3920,arizona
2,Black,04000US05,Arkansas,2018,2018,30769,1559,arkansas
2,Black,04000US06,California,2018,2018,53565,1740,california
2,Black,04000US08,Colorado,2018,2018,49081,3821,colorado
2,Black,04000US09,Connecticut,2018,2018,50113,3239,connecticut
2,Black,04000US10,Delaware,2018,2018,44666,3852,delaware
2,Black,04000US11,District of Columbia,2018,2018,45193,3297,district-of-columbia
2,Black,04000US12,Florida,2018,2018,41416,684,florida
2,Black,04000US13,Georgia,2018,2018,45100,878,georgia
2,Black,04000US15,Hawaii,2018,2018,70185,13350,hawaii
2,Black,04000US16,Idaho,2018,2018,41326,1896,idaho
2,Black,04000US17,Illinois,2018,2018,39719,1228,illinois
2,Black,04000US18,Indiana,2018,2018,34290,1438,indiana
2,Black,04000US19,Iowa,2018,2018,31992,2026,iowa
2,Black,04000US20,Kansas,2018,2018,35412,4008,kansas
2,Black,04000US21,Kentucky,2018,2018,35565,1485,kentucky
2,Black,04000US22,Louisiana,2018,2018,30188,794,louisiana
2,Black,04000US23,Maine,2018,2018,48840,8279,maine
2,Black,04000US24,Maryland,2018,2018,66926,1704,maryland
2,Black,04000US25,Massachusetts,2018,2018,53270,4794,massachusetts
2,Black,04000US26,Michigan,2018,2018,34503,806,michigan
2,Black,04000US27,Minnesota,2018,2018,36849,1877,minnesota
2,Black,04000US28,Mississippi,2018,2018,30612,811,mississippi
2,Black,04000US29,Missouri,2018,2018,35998,1449,missouri
2,Black,04000US30,Montana,2018,2018,41981,12494,montana
2,Black,04000US31,Nebraska,2018,2018,37986,5417,nebraska
2,Black,04000US32,Nevada,2018,2018,40560,1748,nevada
2,Black,04000US33,New Hampshire,2018,2018,47625,16981,new-hampshire
2,Black,04000US34,New Jersey,2018,2018,55072,1630,new-jersey
2,Black,04000US35,New Mexico,2018,2018,29629,7331,new-mexico
2,Black,04000US36,New York,2018,2018,48347,1330,new-york
2,Black,04000US37,North Carolina,2018,2018,38597,834,north-carolina
2,Black,04000US38,North Dakota,2018,2018,45802,4318,north-dakota
2,Black,04000US39,Ohio,2018,2018,33590,898,ohio
2,Black,04000US40,Oklahoma,2018,2018,35887,1526,oklahoma
2,Black,04000US41,Oregon,2018,2018,46076,5479,oregon
2,Black,04000US42,Pennsylvania,2018,2018,37201,994,pennsylvania
2,Black,04000US44,Rhode Island,2018,2018,48961,6470,rhode-island
2,Black,04000US45,South Carolina,2018,2018,34576,1009,south-carolina
2,Black,04000US46,South Dakota,2018,2018,43686,14589,south-dakota
2,Black,04000US47,Tennessee,2018,2018,36533,938,tennessee
2,Black,04000US48,Texas,2018,2018,45545,849,texas
2,Black,04000US49,Utah,2018,2018,44090,8057,utah
2,Black,04000US50,Vermont,2018,2018,40509,10587,vermont
2,Black,04000US51,Virginia,2018,2018,50064,1267,virginia
2,Black,04000US53,Washington,2018,2018,55661,5168,washington
2,Black,04000US54,West Virginia,2018,2018,30925,3043,west-virginia
2,Black,04000US55,Wisconsin,2018,2018,30798,1499,wisconsin
2,Black,04000US56,Wyoming,2018,2018,88951,66837,wyoming
2,Black,04000US72,Puerto Rico,2018,2018,19476,1173,puerto-rico
3,Native American,04000US01,Alabama,2018,2018,47582,11643,alabama
3,Native American,04000US02,Alaska,2018,2018,49727,2901,alaska
3,Native American,04000US04,Arizona,2018,2018,37644,2380,arizona
3,Native American,04000US05,Arkansas,2018,2018,38906,10360,arkansas
3,Native American,04000US06,California,2018,2018,61861,3142,california
3,Native American,04000US08,Colorado,2018,2018,48427,5367,colorado
3,Native American,04000US09,Connecticut,2018,2018,38175,10290,connecticut
3,Native American,04000US10,Delaware,2018,2018,54926,38408,delaware
3,Native American,04000US11,District of Columbia,2018,2018,56797,45437,district-of-columbia
3,Native American,04000US12,Florida,2018,2018,47526,7728,florida
3,Native American,04000US13,Georgia,2018,2018,31917,7269,georgia
3,Native American,04000US15,Hawaii,2018,2018,40619,26500,hawaii
3,Native American,04000US16,Idaho,2018,2018,31779,4078,idaho
3,Native American,04000US17,Illinois,2018,2018,54191,13953,illinois
3,Native American,04000US18,Indiana,2018,2018,49786,4122,indiana
3,Native American,04000US19,Iowa,2018,2018,41265,5647,iowa
3,Native American,04000US20,Kansas,2018,2018,42181,12005,kansas
3,Native American,04000US21,Kentucky,2018,2018,36746,13958,kentucky
3,Native American,04000US22,Louisiana,2018,2018,46613,5385,louisiana
3,Native American,04000US23,Maine,2018,2018,28333,16024,maine
3,Native American,04000US24,Maryland,2018,2018,71782,11372,maryland
3,Native American,04000US25,Massachusetts,2018,2018,48316,24156,massachusetts
3,Native American,04000US26,Michigan,2018,2018,46663,9044,michigan
3,Native American,04000US27,Minnesota,2018,2018,35148,4075,minnesota
3,Native American,04000US28,Mississippi,2018,2018,28680,6809,mississippi
3,Native American,04000US29,Missouri,2018,2018,42772,8676,missouri
3,Native American,04000US30,Montana,2018,2018,32001,3266,montana
3,Native American,04000US31,Nebraska,2018,2018,40659,7996,nebraska
3,Native American,04000US32,Nevada,2018,2018,41198,7458,nevada
3,Native American,04000US33,New Hampshire,2018,2018,55691,18242,new-hampshire
3,Native American,04000US34,New Jersey,2018,2018,76768,13927,new-jersey
3,Native American,04000US35,New Mexico,2018,2018,34764,2471,new-mexico
3,Native American,04000US36,New York,2018,2018,40290,4588,new-york
3,Native American,04000US37,North Carolina,2018,2018,40304,3819,north-carolina
3,Native American,04000US38,North Dakota,2018,2018,45888,4865,north-dakota
3,Native American,04000US39,Ohio,2018,2018,29062,3956,ohio
3,Native American,04000US40,Oklahoma,2018,2018,44894,2440,oklahoma
3,Native American,04000US41,Oregon,2018,2018,50774,9168,oregon
3,Native American,04000US42,Pennsylvania,2018,2018,52404,11067,pennsylvania
3,Native American,04000US44,Rhode Island,2018,2018,36889,28876,rhode-island
3,Native American,04000US45,South Carolina,2018,2018,46740,5823,south-carolina
3,Native American,04000US46,South Dakota,2018,2018,26505,3480,south-dakota
3,Native American,04000US47,Tennessee,2018,2018,54561,12970,tennessee
3,Native American,04000US48,Texas,2018,2018,55148,5381,texas
3,Native American,04000US49,Utah,2018,2018,47668,13396,utah
3,Native American,04000US51,Virginia,2018,2018,61336,16037,virginia
3,Native American,04000US53,Washington,2018,2018,53243,5640,washington
3,Native American,04000US54,West Virginia,2018,2018,34018,10557,west-virginia
3,Native American,04000US55,Wisconsin,2018,2018,46633,6557,wisconsin
3,Native American,04000US56,Wyoming,2018,2018,55292,10999,wyoming
3,Native American,04000US72,Puerto Rico,2018,2018,18624,10119,puerto-rico
4,Asian,04000US01,Alabama,2018,2018,57324,11451,alabama
4,Asian,04000US02,Alaska,2018,2018,63248,8294,alaska
4,Asian,04000US04,Arizona,2018,2018,81026,4910,arizona
4,Asian,04000US05,Arkansas,2018,2018,58322,13886,arkansas
4,Asian,04000US06,California,2018,2018,97352,1348,california
4,Asian,04000US08,Colorado,2018,2018,79399,4610,colorado
4,Asian,04000US09,Connecticut,2018,2018,95018,7733,connecticut
4,Asian,04000US10,Delaware,2018,2018,89354,6763,delaware
4,Asian,04000US11,District of Columbia,2018,2018,116382,16471,district-of-columbia
4,Asian,04000US12,Florida,2018,2018,66546,3363,florida
4,Asian,04000US13,Georgia,2018,2018,81531,2508,georgia
4,Asian,04000US15,Hawaii,2018,2018,86048,2714,hawaii
4,Asian,04000US16,Idaho,2018,2018,45240,7683,idaho
4,Asian,04000US17,Illinois,2018,2018,85548,3367,illinois
4,Asian,04000US18,Indiana,2018,2018,61950,4396,indiana
4,Asian,04000US19,Iowa,2018,2018,57585,10402,iowa
4,Asian,04000US20,Kansas,2018,2018,70834,7496,kansas
4,Asian,04000US21,Kentucky,2018,2018,58635,13947,kentucky
4,Asian,04000US22,Louisiana,2018,2018,57198,5469,louisiana
4,Asian,04000US23,Maine,2018,2018,61897,33284,maine
4,Asian,04000US24,Maryland,2018,2018,101203,3117,maryland
4,Asian,04000US25,Massachusetts,2018,2018,97539,5483,massachusetts
4,Asian,04000US26,Michigan,2018,2018,85905,3247,michigan
4,Asian,04000US27,Minnesota,2018,2018,80943,4906,minnesota
4,Asian,04000US28,Mississippi,2018,2018,67890,15754,mississippi
4,Asian,04000US29,Missouri,2018,2018,71928,4926,missouri
4,Asian,04000US30,Montana,2018,2018,61839,13754,montana
4,Asian,04000US31,Nebraska,2018,2018,66427,10242,nebraska
4,Asian,04000US32,Nevada,2018,2018,67419,4126,nevada
4,Asian,04000US33,New Hampshire,2018,2018,80609,13893,new-hampshire
4,Asian,04000US34,New Jersey,2018,2018,118772,3804,new-jersey
4,Asian,04000US35,New Mexico,2018,2018,70130,11417,new-mexico
4,Asian,04000US36,New York,2018,2018,76694,1518,new-york
4,Asian,04000US37,North Carolina,2018,2018,79216,4035,north-carolina
4,Asian,04000US38,North Dakota,2018,2018,62184,14573,north-dakota
4,Asian,04000US39,Ohio,2018,2018,75822,4459,ohio
4,Asian,04000US40,Oklahoma,2018,2018,53607,7333,oklahoma
4,Asian,04000US41,Oregon,2018,2018,80316,6161,oregon
4,Asian,04000US42,Pennsylvania,2018,2018,77044,3790,pennsylvania
4,Asian,04000US44,Rhode Island,2018,2018,70437,8282,rhode-island
4,Asian,04000US45,South Carolina,2018,2018,69149,7277,south-carolina
4,Asian,04000US46,South Dakota,2018,2018,54183,25922,south-dakota
4,Asian,04000US47,Tennessee,2018,2018,74307,10516,tennessee
4,Asian,04000US48,Texas,2018,2018,87120,3777,texas
4,Asian,04000US49,Utah,2018,2018,67135,7438,utah
4,Asian,04000US50,Vermont,2018,2018,60547,18863,vermont
4,Asian,04000US51,Virginia,2018,2018,109050,5043,virginia
4,Asian,04000US53,Washington,2018,2018,97356,4930,washington
4,Asian,04000US54,West Virginia,2018,2018,62159,15115,west-virginia
